HBName,DailyPositive,CumulativePositive,datevar,rna_value,weekday,day,NHS_Borders,NHS_Dumfries_and_Galloway,NHS_Fife,NHS_Forth_Valley,NHS_Grampian,NHS_Greater_Glasgow_and_Clyde,NHS_Highland,NHS_Lanarkshire,NHS_Lothian,NHS_Orkney,NHS_Shetland,NHS_Tayside,NHS_Western_Isles
NHS Tayside,9,1841,16-Aug-20,15262,1,Sun,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,16-Aug-20,85966,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,1,1299,17-Aug-20,0,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,0,343,17-Aug-20,0,2,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,1,310,17-Aug-20,0,2,Mon,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,0,972,17-Aug-20,0,2,Mon,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,2,1112,17-Aug-20,0,2,Mon,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,9,1852,17-Aug-20,12363,2,Mon,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,16,5161,17-Aug-20,2674,2,Mon,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,2,399,17-Aug-20,568.8239375,2,Mon,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,10,2844,17-Aug-20,0,2,Mon,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,7,3252,17-Aug-20,67380,2,Mon,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,16,17-Aug-20,5820,2,Mon,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,56,17-Aug-20,84778,2,Mon,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,24,1865,17-Aug-20,15262,2,Mon,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,17-Aug-20,85966,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,2,1301,18-Aug-20,0,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,0,343,18-Aug-20,0,3,Tue,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,0,310,18-Aug-20,0,3,Tue,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,2,974,18-Aug-20,0,3,Tue,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,1,1113,18-Aug-20,0,3,Tue,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,12,1864,18-Aug-20,8800,3,Tue,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,19,5180,18-Aug-20,2331.00594,3,Tue,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,1,400,18-Aug-20,658,3,Tue,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,7,2851,18-Aug-20,359.234672,3,Tue,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,3,3255,18-Aug-20,67380,3,Tue,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,16,18-Aug-20,5820,3,Tue,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,56,18-Aug-20,0,3,Tue,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,31,1896,18-Aug-20,15262,3,Tue,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,18-Aug-20,85966,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,3,1304,19-Aug-20,0,4,Wed,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,0,343,19-Aug-20,0,4,Wed,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,1,311,19-Aug-20,0,4,Wed,0,1,0,0,0,0,0,0,0,0,0,0,0
